"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Owens Ear Center","TX","Healthcare Provider","19908","07/27/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Behavioral Health Network, Inc.","MA","Healthcare Provider","129571","07/27/2020","Hacking/IT Incident","Network Server","No",""
"University of Maryland Faculty Physicians, Inc. / University of Maryland Medical Center","MD","Healthcare Provider","33896","07/24/2020","Hacking/IT Incident","Email","No",""
"Walgreen Co.","IL","Healthcare Provider","72143","07/24/2020","Theft","Other Portable Electronic Device, Paper/Films","No",""
"Town of Babylon","NY","Healthcare Provider","1974","07/24/2020","Hacking/IT Incident","Email","No",""
"Foundation Surgical Hospital of San Antonio","TX","Healthcare Provider","1237","07/24/2020","Unauthorized Access/Disclosure","Other","No",""
"Supervalu Pharmacies, Inc.","MN","Healthcare Provider","1500","07/24/2020","Theft","Other, Paper/Films","No",""
"CVS Pharmacy","RI","Healthcare Provider","26234","07/24/2020","Loss","Paper/Films","No",""
"Highpoint Foot & Ankle Center","PA","Healthcare Provider","25554","07/20/2020","Hacking/IT Incident","Network Server","No",""
"University of Utah","UT","Healthcare Provider","10000","07/20/2020","Hacking/IT Incident","Email","No",""
"NCP Healthcare Management Company","MA","Business Associate","78070","07/17/2020","Hacking/IT Incident","Email","Yes",""
"Brandywine Counseling & Community Services, Inc","DE","Healthcare Provider","4139","07/17/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Maryland Health Enterprises DBA Lorien Health Services ","MD","Healthcare Provider","47754","07/17/2020","Hacking/IT Incident","Network Server","No",""
"Allergy and Asthma Clinic of Fort Worth","TX","Healthcare Provider","69777","07/16/2020","Hacking/IT Incident","Network Server","No",""
"US HealthCenter, Inc.","WI","Business Associate","1441","07/16/2020","Hacking/IT Incident","Email","Yes",""
"WellCare Health Plans","FL","Health Plan","50439","07/16/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"The Puerto Rican Organization to Motivate, Enlighten, and Serve Addicts, Inc. (PROMESA)","NY","Healthcare Provider","1002","07/16/2020","Hacking/IT Incident","Email","No",""
"SRPMIC Employee Health Plan","AZ","Health Plan","1708","07/15/2020","Hacking/IT Incident","Email, Network Server","Yes",""
"Wisconsin Department of Corrections","WI","Healthcare Provider","1853","07/15/2020","Unauthorized Access/Disclosure","Other","No",""
"Coalinga Valley Health Clinics, Inc. ","CA","Healthcare Provider","1463","07/14/2020","Theft","Paper/Films","No",""
"City Dental","CA","Healthcare Provider","900","07/14/2020","Hacking/IT Incident","Network Server","No",""
"Greenway Health, LLC","FL","Business Associate","2251","07/10/2020","Hacking/IT Incident","Other","Yes",""
"Jim Dinh, DC ","TX","Business Associate","500","07/10/2020","Theft","Desktop Computer, Laptop, Other Portable Electronic Device","Yes",""
"Tak-ming Ko, M.D., LLC","AK","Healthcare Provider","1158","07/09/2020","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Dr. Ann Hale, D.D.S. / also known as Hutton & Hale, D.D.S.","CA","Healthcare Provider","8394","07/08/2020","Hacking/IT Incident","Network Server","No",""
"Accu Copy of Greenville, Incorporated","NC","Business Associate","21800","07/06/2020","Hacking/IT Incident","Desktop Computer, Network Server","Yes",""
"Four Winds Behavioral Health ","NM","Healthcare Provider","500","07/06/2020","Hacking/IT Incident","Email","No",""
"Central California Alliance for Health","CA","Health Plan","35883","07/02/2020","Hacking/IT Incident","Email","No",""
"Independence Blue Cross","PA","Business Associate","2393","07/02/2020","Unauthorized Access/Disclosure","Other","Yes",""
"Florida Orthopaedic Institute","FL","Healthcare Provider","640000","07/01/2020","Hacking/IT Incident","Network Server","No",""
"Carter and Hoff Dentistry","NC","Healthcare Provider","7000","07/01/2020","Hacking/IT Incident","Network Server","No",""
"WellCare Health Plans, Inc.","FL","Health Plan","2943","06/30/2020","Unauthorized Access/Disclosure","Other","Yes",""
"Maxwell Aesthetics","TN","Healthcare Provider","656","06/30/2020","Hacking/IT Incident","Desktop Computer","No",""
"Salinas Valley Memorial Healthcare System","CA","Healthcare Provider","786","06/29/2020","Hacking/IT Incident","Email","No",""
"Premier Kids Care, Inc.","GA","Healthcare Provider","6265","06/29/2020","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"M&T Bank","NY","Business Associate","5878","06/29/2020","Unauthorized Access/Disclosure","Email","Yes",""
"Benefit Recovery Specialists, Inc. ","TX","Business Associate","274837","06/26/2020","Hacking/IT Incident","Network Server","Yes",""
"Rose Dental ","TX","Healthcare Provider","6169","06/26/2020","Hacking/IT Incident","Email","No",""
"Rose Dental ","TX","Healthcare Provider","2835","06/26/2020","Hacking/IT Incident","Email","No",""
"The StayWell Company, LLC","PA","Business Associate","971","06/26/2020","Hacking/IT Incident","Network Server","Yes",""
"Sage Behavior Services, Inc","CA","Healthcare Provider","763","06/25/2020","Hacking/IT Incident","Network Server","Yes",""
"Morneau Shepell Limited","IL","Healthcare Provider","1162","06/25/2020","Hacking/IT Incident","Email","No",""
"Grace & Porta Benefits, inc.","MI","Health Plan","572","06/23/2020","Hacking/IT Incident","Email","No",""
"Iowa Total Care, Inc.","IA","Health Plan","11581","06/23/2020","Unauthorized Access/Disclosure","Email","No",""
"Friendship Community Care, Inc.","AR","Healthcare Provider","9745","06/22/2020","Unauthorized Access/Disclosure","Email","No",""
"CHI St. Luke's Health Memorial","TX","Healthcare Provider","1045","06/19/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Jeremy A. Ledger D.M.D., P.A.","FL","Healthcare Provider","538","06/19/2020","Unauthorized Access/Disclosure","Email","No",""
"Human Affairs International of California","CA","Business Associate","15843","06/19/2020","Hacking/IT Incident","Email, Network Server","Yes",""
"CodeMetro, Inc.","CA","Business Associate","62807","06/19/2020","Hacking/IT Incident","Network Server","Yes",""
"American Medical Technologies ","CA","Healthcare Provider","47767","06/18/2020","Hacking/IT Incident","Electronic Medical Record, Email, Network Server","No",""
"North Shore Pain Management","MA","Healthcare Provider","12472","06/18/2020","Hacking/IT Incident","Network Server","No",""
"The Kroger Co., for itself and its affiliates and subsidiaries","OH","Healthcare Provider","10974","06/18/2020","Hacking/IT Incident","Network Server","No",""
"Oral and Maxillofacial Surgery Associates, P.A.","SC","Healthcare Provider","35498","06/17/2020","Hacking/IT Incident","Desktop Computer, Network Server, Other Portable Electronic Device","No",""
"Frank D. Lanterman Regional Center","CA","Healthcare Provider","9271","06/16/2020","Hacking/IT Incident","Network Server","Yes",""
"Providence Health Plan","OR","Health Plan","49511","06/16/2020","Unauthorized Access/Disclosure","Other","Yes",""
"Senior Whole Health of New York","NY","Health Plan","3853","06/16/2020","Hacking/IT Incident","Email, Network Server","No",""
"Choice Health Management Services, LLC","NC","Business Associate","11650","06/15/2020","Hacking/IT Incident","Email","Yes",""
"The Waldorf Center ","OR","Healthcare Provider","606","06/15/2020","Hacking/IT Incident","Email","No",""
"Legacy Community Health Services","TX","Healthcare Provider","19000","06/15/2020","Hacking/IT Incident","Email","No",""
"Magellan Complete Care of Virginia, LLC","MD","Health Plan","3568","06/15/2020","Hacking/IT Incident","Email, Network Server","No",""
"Cano Health","FL","Healthcare Provider","28268","06/12/2020","Hacking/IT Incident","Email","No",""
"UF Health Jacksonville","FL","Healthcare Provider","54002","06/12/2020","Hacking/IT Incident","Email","Yes",""
"UF Health Shands","FL","Healthcare Provider","13146","06/12/2020","Hacking/IT Incident","Email","Yes",""
"UF","FL","Healthcare Provider","9182","06/12/2020","Hacking/IT Incident","Email","Yes",""
"Mehta, Anil MD, Inc.","CA","Healthcare Provider","846","06/12/2020","Theft","Desktop Computer, Paper/Films","No",""
"Healthcare Fiscal Management Inc.","NC","Business Associate","58000","06/12/2020","Hacking/IT Incident","Network Server","Yes",""
"Integra Managed Care","NY","Health Plan","644","06/12/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Sunrise Treatment Center,LLC","OH","Healthcare Provider","3660","06/12/2020","Hacking/IT Incident","Email","No",""
"Magellan Rx Pharmacy","MD","Healthcare Provider","33040","06/12/2020","Hacking/IT Incident","Email, Network Server","No",""
"Magellan Healthcare","MD","Business Associate","50410","06/12/2020","Hacking/IT Incident","Email, Network Server","Yes",""
"Magellan Complete Care of Florida","FL","Health Plan","76236","06/12/2020","Hacking/IT Incident","Email, Network Server","No",""
"Merit Health Insurance Company","IL","Health Plan","102748","06/12/2020","Hacking/IT Incident","Email, Network Server","No",""
"National Imaging Associates","MD","Business Associate","22560","06/12/2020","Hacking/IT Incident","Email, Network Server","Yes",""
"Magellan Rx Management","AZ","Business Associate","314704","06/12/2020","Hacking/IT Incident","Email, Network Server","Yes",""
"Magellan Health Inc.","AZ","Health Plan","1013956","06/12/2020","Hacking/IT Incident","Email, Network Server","No",""
"Axis Neuromonitoring, Inc., d/b/a Apex IONM Solutions","TX","Business Associate","1876","06/11/2020","Hacking/IT Incident","Email","Yes",""
"University of Missouri Health Care","MO","Healthcare Provider","5074","06/11/2020","Hacking/IT Incident","Email","No",""
"Rangely District Hospital","CO","Healthcare Provider","6339","06/08/2020","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"University of Utah","UT","Healthcare Provider","1909","06/08/2020","Hacking/IT Incident","Email","No",""
"Danube River Holdings LLC dba RiverPointe Post Acute","CA","Healthcare Provider","633","06/07/2020","Loss","Other Portable Electronic Device","No",""
"Kentuckiana Regional Planning and Development Agency","KY","Healthcare Provider","3663","06/05/2020","Hacking/IT Incident","Desktop Computer, Email","No",""
"Andrew Dang, DDS","CA","Healthcare Provider","974","06/04/2020","Theft","Desktop Computer","No",""
"JDA eHealth Systems, Inc.","IL","Business Associate","917","06/02/2020","Unauthorized Access/Disclosure","Other, Paper/Films","Yes",""
"Allergy & Asthma Medical Group of the Bay Area, Inc.","CA","Healthcare Provider","1900","06/02/2020","Theft","Laptop","No",""
"City of Philadelphia","PA","Health Plan","19042","06/01/2020","Hacking/IT Incident","Email","No",""
"Rochester Regional Health","NY","Healthcare Provider","1945","06/01/2020","Hacking/IT Incident","Email","No",""
"HEALTHY CONNECTIONS INC","AR","Healthcare Provider","3565","06/01/2020","Unauthorized Access/Disclosure","Email","No",""
"Sanitas Dental Management","FL","Healthcare Provider","19000","05/29/2020","Loss","Network Server","No",""
"Hanger Prosthetics & Orthotics, Inc. d/b/a Hanger Clinic","TX","Healthcare Provider","6033","05/29/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Ridgeview Institute - Monroe","GA","Healthcare Provider","1853","05/29/2020","Unauthorized Access/Disclosure","Email, Paper/Films","No",""
"Catholic Charities Diocese of San Diego","CA","Business Associate","36205","05/29/2020","Hacking/IT Incident","Network Server","Yes",""
"Michiana Hematology Oncology, PC","IN","Healthcare Provider","500","05/29/2020","Improper Disposal","Paper/Films","Yes",""
"South Bend Medical Foundation, Inc.","IN","Healthcare Provider","500","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"Beacon Health systems, Inc.","IN","Healthcare Provider","900","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"Allied Physicians of Michiana, LLC","IN","Healthcare Provider","976","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"Saint Joseph Regional Medical Center, Inc.","IN","Healthcare Provider","1000","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"New Avenues, Inc.","IN","Healthcare Provider","1000","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"Elkhart Emergency Physicians, Inc .","IN","Healthcare Provider","550000","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"Renee Applebaum Phd Pc","MI","Healthcare Provider","3800","05/24/2020","Hacking/IT Incident","Network Server","Yes",""
"Mediclaim, LLC","MI","Business Associate","14931","05/22/2020","Hacking/IT Incident","Network Server","Yes",""
"Kaiser Permanente ","MD","Health Plan","2756","05/22/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Everett & Hurite Ophthalmic Association","PA","Healthcare Provider","34113","05/22/2020","Hacking/IT Incident","Email","No",""
"Woodlawn Dental Center","OH","Healthcare Provider","14419","05/18/2020","Hacking/IT Incident","Network Server","No",""
"Geisinger Wyoming Valley Medical Center","PA","Healthcare Provider","805","05/18/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"PsyGenics, Inc.","MI","Business Associate","608","05/18/2020","Unauthorized Access/Disclosure","Email","Yes",""
"Mat-Su Surgical Associates, APC","AK","Healthcare Provider","13146","05/15/2020","Hacking/IT Incident","Laptop, Network Server","No",""
"Infor-Med Medical Information Systems Inc.","CA","Business Associate","3728","05/13/2020","Unauthorized Access/Disclosure","Email","Yes",""
"Alexander Chun, MD, PLLC","NY","Healthcare Provider","595","05/12/2020","Improper Disposal","Paper/Films","No",""
"District Medical Group","AZ","Healthcare Provider","10190","05/08/2020","Hacking/IT Incident","Email","No",""
"Santa Rosa & Rohnert Park Oral Surgery","CA","Healthcare Provider","5357","05/08/2020","Unauthorized Access/Disclosure","Email","No",""
"Ashtabula County Medical Center","OH","Healthcare Provider","3683","05/08/2020","Hacking/IT Incident","Network Server","No",""
"Moorestown Visiting Nurse Association","NJ","Healthcare Provider","26465","05/07/2020","Hacking/IT Incident","Network Server","No",""
"Midmark RTLS Solutions, Inc.","MI","Business Associate","7422","05/05/2020","Hacking/IT Incident","Other","Yes",""
"The Nebraska Medical Center","NE","Healthcare Provider","1311","05/05/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"BJC Health System","MO","Business Associate","287876","05/05/2020","Hacking/IT Incident","Email","Yes",""
"Management and Network Services, LLC","OH","Business Associate","30132","05/04/2020","Hacking/IT Incident","Email","Yes",""
"Ann & Robert H. Lurie Children's Hospital of Chicago","IL","Healthcare Provider","4824","05/04/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Saint Francis Healthcare Partners","CT","Business Associate","38529","05/04/2020","Hacking/IT Incident","Email","Yes",""
"Stamford Health","CT","Healthcare Provider","1255","04/30/2020","Unauthorized Access/Disclosure","Email","No",""
"Meridian Health Services Corp.","IN","Healthcare Provider","111372","04/27/2020","Hacking/IT Incident","Email","No",""
"City of Detroit Health Department","MI","Healthcare Provider","1981","04/27/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Customized Computer Software","TX","Business Associate","500","04/26/2020","Hacking/IT Incident","Laptop","Yes",""
"Daniel Bendetowicz MD PA","FL","Healthcare Provider","3314","04/24/2020","Hacking/IT Incident","Network Server","No",""
"United Cerebral Palsy Heartland","MO","Healthcare Provider","518","04/24/2020","Hacking/IT Incident","Email","No",""
"Ascension Eastwood Clinics ","MI","Healthcare Provider","999","04/23/2020","Unauthorized Access/Disclosure","Email","No",""
"Agility Center Orthopedics","AR","Healthcare Provider","13968","04/22/2020","Hacking/IT Incident","Email","No",""
"Psychiatric Associates of North Carolina, Professional Association","NC","Healthcare Provider","1081","04/20/2020","Unauthorized Access/Disclosure","Email","No",""
"Hebrew Home of Greater Washington","MD","Healthcare Provider","2550","04/17/2020","Hacking/IT Incident","Email","No",""
"Beaumont Health","MI","Healthcare Provider","112211","04/17/2020","Hacking/IT Incident","Email","No",""
"Houston Methodist Hospital","TX","Healthcare Provider","1987","04/17/2020","Theft","Other Portable Electronic Device","No",""
"Good Samaritan Hospital, Inc.","CA","Healthcare Provider","233835","04/17/2020","Hacking/IT Incident","Email","No",""
"John A. Grimaldi DO INC","CA","Healthcare Provider","912","04/16/2020","Unauthorized Access/Disclosure","Electronic Medical Record, Laptop, Other","No",""
"Advocate Aurora Health","WI","Healthcare Provider","27137","04/16/2020","Hacking/IT Incident","Email, Network Server","No",""
"Hartford HealthCare","CT","Healthcare Provider","2651","04/13/2020","Hacking/IT Incident","Email","No",""
"Doctors Community Medical Center","MD","Healthcare Provider","18481","04/13/2020","Hacking/IT Incident","Email","No",""
"Saint Francis Ministries","KS","Healthcare Provider","3680","04/10/2020","Hacking/IT Incident","Email","No",""
"Arizona Endocrinology Center","AZ","Healthcare Provider","74122","04/10/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Corpus Christi Rehabilitation Hospital","TX","Healthcare Provider","507","04/10/2020","Hacking/IT Incident","Email","No",""
"Rehabilitation Hospital of Southern New Mexico","NM","Healthcare Provider","1843","04/10/2020","Hacking/IT Incident","Email","No",""
"UPMC Altoona Regional Health Services","PA","Healthcare Provider","13911","04/10/2020","Hacking/IT Incident","Email","No",""
"Brandywine Counseling & Community Services, Inc","DE","Healthcare Provider","4262","04/10/2020","Hacking/IT Incident","Network Server","No",""
"Healthcare Resource Group, Inc.","WA","Business Associate","3009","04/07/2020","Hacking/IT Incident","Email","Yes",""
"New Jersey Urology, LLC","NJ","Healthcare Provider","3000","04/06/2020","Hacking/IT Incident","Email","No",""
"Child, Family and Community Services, Inc.","CA","Health Plan","1658","04/03/2020","Theft","Laptop, Other Portable Electronic Device","No",""
"University of Utah","UT","Healthcare Provider","5000","04/03/2020","Hacking/IT Incident","Email","No",""
"Confidio, LLC","MD","Business Associate","3600","03/31/2020","Hacking/IT Incident","Email","Yes",""
"Washington University School of Medicine","MO","Healthcare Provider","14795","03/31/2020","Hacking/IT Incident","Email","No",""
"Affordacare Urgent Care Clinics","TX","Healthcare Provider","57411","03/31/2020","Hacking/IT Incident","Network Server","No",""
"University of Minnesota Physicians","MN","Healthcare Provider","683","03/30/2020","Hacking/IT Incident","Email","No",""
"Mid-Delaware Imaging","DE","Healthcare Provider","9875","03/30/2020","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server","No",""
"Brandywine Urology Consultants, PA","DE","Healthcare Provider","131825","03/27/2020","Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server","No",""
"Crossroads Technologies, Inc.","PA","Business Associate","897","03/27/2020","Hacking/IT Incident","Network Server","Yes",""
"Stockdale Radiology","CA","Healthcare Provider","10700","03/27/2020","Hacking/IT Incident","Desktop Computer","No",""
"UHHS Samaritan Medical Center","OH","Healthcare Provider","903","03/26/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"David S Daley, DMD","AZ","Healthcare Provider","1000","03/26/2020","Theft","Network Server","No",""
"New Jersey Department of Human Services","NJ","Health Plan","2300","03/25/2020","Hacking/IT Incident","Network Server","No",""
"VA Sierra Nevada Health Care System","NV","Healthcare Provider","702","03/25/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"FACKLER FAMILY CHIROPRACTIC, LLC","OH","Healthcare Provider","1731","03/23/2020","Theft","Paper/Films","No",""
"Health Care Service Corporation","IL","Health Plan","575","03/23/2020","Unauthorized Access/Disclosure","Email","No",""
"Ambry Genetics Corporation","CA","Healthcare Provider","232772","03/22/2020","Hacking/IT Incident","Email","No",""
"University of Utah","UT","Healthcare Provider","3670","03/21/2020","Hacking/IT Incident","Email","No",""
"Golden Valley Health Centers","CA","Healthcare Provider","39700","03/20/2020","Hacking/IT Incident","Email","No",""
"Otis R. Bowen Center for Human Services","IN","Healthcare Provider","35804","03/20/2020","Hacking/IT Incident","Email","No",""
"Lakewood Health System","MN","Healthcare Provider","1415","03/16/2020","Hacking/IT Incident","Email","No",""
"Randleman Eye Center","NC","Healthcare Provider","19556","03/13/2020","Hacking/IT Incident","Network Server","No",""
"Foundation Medicine, Inc.","MA","Healthcare Provider","2999","03/13/2020","Hacking/IT Incident","Email","No",""
"North Texas Institute of Neurology and Headache","TX","Healthcare Provider","500","03/13/2020","Theft","Laptop","Yes",""
"Northeast Radiology","NY","Healthcare Provider","298532","03/11/2020","Hacking/IT Incident","Network Server","Yes",""
"The Prudential Insurance Company of America","NJ","Health Plan","1945","03/11/2020","Hacking/IT Incident","Network Server","Yes",""
"OneDigital Health and Benefits","GA","Business Associate","22894","03/06/2020","Theft","Laptop","Yes",""
"Torrance Memorial Medical Center","CA","Healthcare Provider","3448","03/06/2020","Hacking/IT Incident","Network Server","No",""
"Elk Ridge Dentistry","CO","Healthcare Provider","2793","03/02/2020","Theft","Other Portable Electronic Device","No",""
"Alameda Alliance for Health","CA","Health Plan","500","02/28/2020","Hacking/IT Incident","Network Server","No",""
"Walgreen Co. ","IL","Healthcare Provider","6681","02/28/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Ozark Orthopaedics, PA","AR","Healthcare Provider","15240","02/28/2020","Hacking/IT Incident","Email","No",""
"Vail Clinic, Inc. dba Vail Health Hospital ","CO","Healthcare Provider","710","02/27/2020","Unauthorized Access/Disclosure","Network Server, Other Portable Electronic Device","No",""
"Fairfield Anesthesia Associates LLC","CT","Healthcare Provider","800","02/27/2020","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Interactive Medical Systems, Corp.","NC","Business Associate","15010","02/27/2020","Hacking/IT Incident","Email","Yes",""
"Munson Healthcare","MI","Healthcare Provider","75202","02/26/2020","Hacking/IT Incident","Email","No",""
"AFTRA Retirement Fund","NY","Business Associate","57207","02/25/2020","Hacking/IT Incident","Network Server","Yes",""
"Engage Behavioral Health","FL","Healthcare Provider","650","02/24/2020","Hacking/IT Incident","Email","No",""
"Government Employees Health Association, Inc.","MO","Health Plan","696","02/22/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Rady Children's Hospital San Diego","CA","Healthcare Provider","2360","02/21/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Rainbow Hospice Care, Inc.","WI","Healthcare Provider","2029","02/21/2020","Hacking/IT Incident","Email","No",""
"Endeavor Energy Resources, L.P. ","TX","Health Plan","5103","02/20/2020","Hacking/IT Incident","Email","No",""
